Driver_ID,Category,Time,Route_Sequence,Capacity
D1,SHIFT_START,2025-10-01 00:00:00,INIT,4
D2,SHIFT_START,2025-10-01 00:00:00,INIT,4
D3,SHIFT_START,2025-10-01 00:00:00,INIT,4
D4,SHIFT_START,2025-10-01 00:00:00,INIT,4
D5,SHIFT_START,2025-10-01 00:00:00,INIT,4
D6,SHIFT_START,2025-10-01 00:00:00,INIT,4
D7,SHIFT_START,2025-10-01 00:00:00,INIT,4
D8,SHIFT_START,2025-10-01 00:00:00,INIT,4
D9,SHIFT_START,2025-10-01 00:00:00,INIT,4
D10,SHIFT_START,2025-10-01 00:00:00,INIT,4
D1,NEW_ROUTE,2025-10-01 00:00:00,<Stop R214502 (1p): PICKUP> -> <Stop R214502 (1p): DROPOFF>,4
D2,NEW_ROUTE,2025-10-01 00:00:00,<Stop R214503 (1p): PICKUP> -> <Stop R214503 (1p): DROPOFF>,4
D3,NEW_ROUTE,2025-10-01 00:01:00,<Stop R214504 (1p): PICKUP> -> <Stop R214504 (1p): DROPOFF>,4
D1,UPDATE_ROUTE,2025-10-01 00:01:00,<Stop R214502 (1p): PICKUP> -> <Stop R214505 (1p): PICKUP> -> <Stop R214502 (1p): DROPOFF> -> <Stop R214505 (1p): DROPOFF>,4
D4,NEW_ROUTE,2025-10-01 00:03:00,<Stop R214506 (1p): PICKUP> -> <Stop R214506 (1p): DROPOFF>,4
D5,NEW_ROUTE,2025-10-01 00:04:00,<Stop R214507 (1p): PICKUP> -> <Stop R214507 (1p): DROPOFF>,4
D6,NEW_ROUTE,2025-10-01 00:04:00,<Stop R214508 (1p): PICKUP> -> <Stop R214508 (1p): DROPOFF>,4
D7,NEW_ROUTE,2025-10-01 00:05:00,<Stop R214509 (1p): PICKUP> -> <Stop R214509 (1p): DROPOFF>,4
D4,UPDATE_ROUTE,2025-10-01 00:05:00,<Stop R214506 (1p): DROPOFF> -> <Stop R214510 (1p): PICKUP> -> <Stop R214510 (1p): DROPOFF>,4
D8,NEW_ROUTE,2025-10-01 00:06:00,<Stop R214511 (1p): PICKUP> -> <Stop R214511 (1p): DROPOFF>,4
D1,FINISH,2025-10-01 00:07:00,<Stop R214502 (1p): PICKUP> -> <Stop R214505 (1p): PICKUP> -> <Stop R214502 (1p): DROPOFF> -> <Stop R214505 (1p): DROPOFF>,4
D1,NEW_ROUTE,2025-10-01 00:07:00,<Stop R214512 (1p): PICKUP> -> <Stop R214512 (1p): DROPOFF>,4
D9,NEW_ROUTE,2025-10-01 00:07:00,<Stop R214513 (1p): PICKUP> -> <Stop R214513 (1p): DROPOFF>,4
D2,FINISH,2025-10-01 00:08:00,<Stop R214503 (1p): PICKUP> -> <Stop R214503 (1p): DROPOFF>,4
D3,FINISH,2025-10-01 00:09:00,<Stop R214504 (1p): PICKUP> -> <Stop R214504 (1p): DROPOFF>,4
D10,NEW_ROUTE,2025-10-01 00:10:00,<Stop R214514 (1p): PICKUP> -> <Stop R214514 (1p): DROPOFF>,4
D8,FINISH,2025-10-01 00:11:00,<Stop R214511 (1p): PICKUP> -> <Stop R214511 (1p): DROPOFF>,4
